coupon_id,coupon_code,discount_type,discount_value,minimum_order_value,maximum_discount,start_date,end_date,usage_limit,status
COUP023,REPUBLIC250B,Fixed Amount,250,1999,250,08-01-2024,26-01-2024,3500,Expired
COUP024,NEWYEAR15B,Percentage,15,1999,500,02-01-2024,31-01-2024,3000,Expired
COUP025,VALENTINE300B,Fixed Amount,300,2499,300,01-02-2024,14-02-2024,2500,Expired
COUP026,HOLI15B,Percentage,15,1499,450,12-03-2024,28-03-2024,3500,Expired
COUP027,SUMMER10B,Percentage,10,1999,500,10-04-2024,31-05-2024,4200,Expired
COUP028,HOME400B,Fixed Amount,400,2999,400,01-05-2024,15-06-2024,2200,Expired
COUP029,MONSOON300B,Fixed Amount,300,2499,300,15-06-2024,31-07-2024,3200,Expired
COUP030,INDEPENDENCE15B,Percentage,15,1999,500,01-08-2024,18-08-2024,4200,Expired
COUP031,RAKHI500B,Fixed Amount,500,3999,500,05-08-2024,20-08-2024,2600,Expired
COUP032,LAPSED20B,Percentage,20,1499,400,01-09-2024,30-09-2024,1700,Expired
COUP033,FESTIVE500B,Fixed Amount,500,3999,500,20-09-2024,10-10-2024,3800,Expired
COUP034,DIWALI15B,Percentage,15,2499,600,15-10-2024,08-11-2024,5000,Expired
COUP035,PREMIUM750B,Fixed Amount,750,5999,750,25-10-2024,10-11-2024,700,Expired
COUP036,ELECTRO20B,Percentage,20,3999,1000,15-11-2024,10-12-2024,2300,Expired
COUP037,CHRISTMAS500B,Fixed Amount,500,3999,500,10-12-2024,31-12-2024,3600,Expired
COUP038,NEWYEAR10B,Percentage,10,1499,350,15-12-2024,15-01-2025,4500,Expired
COUP039,WELCOME15JAN25,Percentage,15,999,400,01-01-2025,31-03-2025,4500,Expired
COUP040,REPUBLIC500B,Fixed Amount,500,3999,500,10-01-2025,26-01-2025,3800,Expired
COUP041,VALENTINE15B,Percentage,15,1999,500,01-02-2025,14-02-2025,2800,Expired
COUP042,SPRING300B,Fixed Amount,300,2499,300,15-02-2025,10-03-2025,2500,Expired
COUP043,SUMMER15B,Percentage,15,2499,600,01-04-2025,15-05-2025,4000,Expired
COUP044,NEWCUSTOMER500B,Fixed Amount,500,3999,500,01-04-2025,30-06-2025,3000,Expired
COUP045,VIP15B,Percentage,15,4999,1000,01-06-2025,31-08-2025,650,Expired
COUP046,MONSOON10B,Percentage,10,1499,350,15-06-2025,31-07-2025,4000,Expired
COUP047,INDEPENDENCE400B,Fixed Amount,400,2999,400,01-08-2025,20-08-2025,4000,Expired
COUP048,FESTIVE15B,Percentage,15,1999,600,01-09-2025,10-10-2025,4500,Expired
COUP049,DIWALI750B,Fixed Amount,750,5999,750,10-10-2025,25-10-2025,4200,Expired
COUP050,LOYALTY10B,Percentage,10,1499,400,01-06-2025,31-12-2025,2800,Expired
COUP051,HOME15C,Percentage,15,1999,500,15-01-2023,15-03-2023,2800,Expired
COUP052,ELECTRO500C,Fixed Amount,500,4999,500,01-02-2023,31-03-2023,2000,Expired
COUP053,SPRING10C,Percentage,10,1499,350,15-03-2023,30-04-2023,3200,Expired
COUP054,FASHION300C,Fixed Amount,300,2499,300,01-04-2023,15-05-2023,2800,Expired
COUP055,MAYDAY15C,Percentage,15,1999,500,01-05-2023,31-05-2023,2200,Expired
COUP056,HOME25C,Percentage,25,2999,750,15-05-2023,30-06-2023,1400,Expired
COUP057,MONSOON500C,Fixed Amount,500,3999,500,20-06-2023,31-07-2023,2600,Expired
COUP058,NEWJOIN10C,Percentage,10,999,300,01-07-2023,31-08-2023,3800,Expired
COUP059,FREEDOM250C,Fixed Amount,250,1999,250,01-08-2023,15-08-2023,3500,Expired
COUP060,RAKHI10C,Percentage,10,1499,350,20-08-2023,31-08-2023,3200,Expired
COUP061,REACTIVATE15C,Percentage,15,1999,400,01-09-2023,30-09-2023,1900,Expired
COUP062,FESTIVE300C,Fixed Amount,300,2499,300,25-09-2023,20-10-2023,4000,Expired
COUP063,DIWALI10C,Percentage,10,1999,500,20-10-2023,15-11-2023,5200,Expired
COUP064,DIWALI1000C,Fixed Amount,1000,7999,1000,25-10-2023,15-11-2023,700,Expired
COUP065,WINTER10C,Percentage,10,1499,400,20-11-2023,15-12-2023,3000,Expired
COUP066,XMAS300C,Fixed Amount,300,2499,300,05-12-2023,25-12-2023,3500,Expired
COUP067,CLEARANCE20C,Percentage,20,2999,700,15-12-2023,31-12-2023,2500,Expired
COUP068,NEWYEAR250C,Fixed Amount,250,1999,250,20-12-2023,10-01-2024,3600,Expired
COUP069,REPUBLIC10C,Percentage,10,1499,350,08-01-2024,26-01-2024,4000,Expired
COUP070,ACQUIRE500C,Fixed Amount,500,3999,500,15-01-2024,29-02-2024,2200,Expired
COUP071,VALENTINE20C,Percentage,20,2499,600,01-02-2024,14-02-2024,2200,Expired
COUP072,HOLI250C,Fixed Amount,250,1999,250,12-03-2024,28-03-2024,4000,Expired
COUP073,SUMMER20C,Percentage,20,2999,750,01-04-2024,31-05-2024,2600,Expired
COUP074,ELECTRONICS400C,Fixed Amount,400,3499,400,10-04-2024,20-05-2024,2300,Expired
COUP075,LOYALTY15C,Percentage,15,1999,500,01-05-2024,30-06-2024,2800,Expired
COUP076,MONSOON15C,Percentage,15,1999,500,15-06-2024,31-07-2024,3600,Expired
COUP077,FREEDOM500C,Fixed Amount,500,3999,500,01-08-2024,18-08-2024,4000,Expired
COUP078,RAKHI15C,Percentage,15,2499,600,05-08-2024,20-08-2024,2800,Expired
COUP079,REACTIVATE300C,Fixed Amount,300,2499,300,01-09-2024,30-09-2024,1800,Expired
COUP080,FESTIVE10C,Percentage,10,1499,400,20-09-2024,10-10-2024,4500,Expired
COUP081,DIWALI20C,Percentage,20,2999,800,15-10-2024,08-11-2024,4000,Expired
COUP082,DIWALI500C,Fixed Amount,500,3999,500,20-10-2024,10-11-2024,4500,Expired
COUP083,VIP750C,Fixed Amount,750,5999,750,25-10-2024,10-11-2024,700,Expired
COUP084,WINTER15C,Percentage,15,1999,550,15-11-2024,15-12-2024,3000,Expired
COUP085,TECH500C,Fixed Amount,500,4999,500,15-11-2024,10-12-2024,2200,Expired
COUP086,XMAS15C,Percentage,15,1999,500,10-12-2024,31-12-2024,3800,Expired
COUP087,YEAR500C,Fixed Amount,500,3999,500,15-12-2024,31-12-2024,3200,Expired
COUP088,NEWYEAR15C,Percentage,15,1999,500,01-01-2025,15-01-2025,4000,Expired
COUP089,REPUBLIC300C,Fixed Amount,300,2499,300,10-01-2025,26-01-2025,4200,Expired
COUP090,VALENTINE10C,Percentage,10,1499,350,01-02-2025,14-02-2025,3800,Expired
COUP091,SPRING500C,Fixed Amount,500,3999,500,15-02-2025,10-03-2025,2200,Expired
COUP092,SUMMER10C,Percentage,10,1999,450,01-04-2025,15-05-2025,4200,Expired
COUP093,NEWCUSTOMER300C,Fixed Amount,300,2499,300,01-04-2025,30-06-2025,3200,Expired
COUP094,LOYAL20C,Percentage,20,2999,700,01-05-2025,30-06-2025,2200,Expired
COUP095,PREMIUM1000C,Fixed Amount,1000,7999,1000,01-06-2025,31-08-2025,550,Expired
COUP096,MONSOON15C,Percentage,15,1999,500,15-06-2025,31-07-2025,3800,Expired
COUP097,FREEDOM300C,Fixed Amount,300,2499,300,01-08-2025,20-08-2025,4200,Expired
COUP098,FESTIVE20C,Percentage,20,2999,750,01-09-2025,10-10-2025,4500,Expired
COUP099,DIWALI1000C,Fixed Amount,1000,7999,1000,10-10-2025,25-10-2025,2500,Expired
COUP100,YEAR15C,Percentage,15,2499,600,15-11-2025,31-12-2025,4000,Expired
